1;Kreowanie wizerunku w biznesie i polityce (CD) ;audiobooki;1;1;81;zł;24,45;1;0;1;http://www.matras.pl/media/catalog/product/k/r/kreowanie_wizerunku_w_biznesie_i_polityce_cd_IMAGE1_252146.jpg;0;autor:Grażyna Białopiotrowicz 
2;Pamiętniki Tatusia Muminka (CD) ;audiobooki;1;1;63;zł;12,45;1;0;1;http://www.matras.pl/media/catalog/product/p/a/pamietniki_tatusia_muminka_cd_IMAGE1_255746_3.jpg;0;autor:Tove Jansson 
3;Kocha, lubi, szanuje, czyli jeszcze o uczuciach (CD) ;audiobooki;1;1;47;zł;17,31;1;0;1;http://www.matras.pl/media/catalog/product/k/o/kocha__lubi__szanuje__czyli_jeszcze_o_uczuciach_cd_IMAGE1_247498_3.jpg;0;autor:Grzegorz Kasdepke 
4;Kafka nad morzem (CD) ;audiobooki;1;1;64;zł;28,54;1;0;1;http://www.matras.pl/media/catalog/product/k/a/kafka_nad_morzem_cd_IMAGE1_257715.jpg.jpg;0;autor:Haruki Murakami 
5;Mariamne (CD) ;audiobooki;1;1;4;zł;23,72;1;0;1;http://www.matras.pl/media/catalog/product/m/a/mariamne_cd_IMAGE1_255365.jpg.jpg;0;autor:Par Lagerkvist 
6;Bajki Pana Bałagana (CD MP3) ;audiobooki;1;1;42;zł;18,95;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_144970.jpg;0;autor:Jerzy Niemczuk 
7;Ania z Zielonego Wzgórza (CD MP3) ;audiobooki;1;1;22;zł;28,54;1;0;1;http://www.matras.pl/media/catalog/product/a/n/ania_z_zielonego_wzgorza_cd_mp3_IMAGE1_227706_4.jpg;0;autor:Lucy Maud Montgomery 
8;Książę Mgły (CD MP3) ;audiobooki;1;1;66;zł;20,45;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_139107.jpg;0;autor:Carlos Ruiz Zafon 
9;Cylinder van Troffa (CD) ;audiobooki;1;1;96;zł;20,36;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_99883.jpg;0;autor:Janusz A. Zajdel 
10;Pan Wołodyjowski (CD) ;audiobooki;1;1;49;zł;20,00;1;0;1;http://www.matras.pl/media/catalog/product/p/a/pan_wolodyjowski_cd_IMAGE1_213563.jpg;0;autor:Henryk Sienkiewicz 
11;Kamienie na szaniec (CD) ;audiobooki;1;1;27;zł;20,45;1;0;1;http://www.matras.pl/media/catalog/product/k/a/kamienie_na_szaniec_cd_IMAGE1_213579_3.jpg;0;autor:Aleksander Kamiński 
12;Potop (3CD) ;audiobooki;1;1;59;zł;23,20;1;0;1;http://www.matras.pl/media/catalog/product/p/o/potop_3cd_IMAGE1_213562_6.jpg;0;autor:Henryk Sienkiewicz 
13;Limes inferior (CD) ;audiobooki;1;1;39;zł;20,36;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_99871.jpg;0;autor:Janusz A. Zajdel 
14;Łowcy złota (CD) ;audiobooki;1;1;74;zł;20,44;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_99621.jpg;0;autor:James Curwood 
15;Bari, syn szarej Wilczycy (CD) ;audiobooki;1;1;81;zł;20,44;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_99598.jpg;0;autor:James Curwood 
16;Szara wilczyca (CD) ;audiobooki;1;1;39;zł;20,44;1;0;1;http://www.matras.pl/media/catalog/product/f/i/file_99560.jpg;0;autor:James Curwood 
17;Immunitet (Audiobook) ;audiobooki;1;1;76;zł;30,36;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1496313590209_57008_4.jpg;0;autor: 
18;Dziennik 1962-1989. Wybór ;audiobooki;1;1;82;zł;32,63;1;0;1;http://www.matras.pl/media/catalog/product/d/z/dziennik_19621989_wybor_IMAGE1_287902_3.jpg;0;autor:Sławomir Mrożek 
19;Śnieżka musi umrzeć (CD) ;audiobooki;1;1;34;zł;28,54;1;0;1;http://www.matras.pl/media/catalog/product/s/n/sniezka_musi_umrzec_cd_IMAGE1_286273_3.jpg;0;autor:Nele Neuhaus 
20;Korona śniegu i krwi (4CD) ;audiobooki;1;1;20;zł;40,81;1;0;1;http://www.matras.pl/media/catalog/product/k/o/korona_sniegu_i_krwi_4cd_IMAGE1_286183_2.jpg;0;autor:Elżbieta Cherezińska 
21;W mogile ciemnej (CD) ;audiobooki;1;1;75;zł;26,09;1;0;1;http://www.matras.pl/media/catalog/product/w/_/w_mogile_ciemnej_cd_IMAGE1_281534.jpg;0;autor:Peter Robinson 
22;Córka cieni. Siedem szmacianych dat(Audiobook) ;audiobooki;1;1;56;zł;24,32;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487250711609_50747_32.jpg;0;autor:Ewa Cielesz 
23;Córka cieni. Obce matki(Audiobook) ;audiobooki;1;1;13;zł;24,32;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487250530453_20316_32.jpg;0;autor:Ewa Cielesz 
24;Serialista(Audiobook) ;audiobooki;1;1;84;zł;26,06;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487252870453_33638_31.jpg;0;autor:David Gordon 
25;Zasługa nocy(Audiobook) ;audiobooki;1;1;10;zł;26,01;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487254263593_98152_31.jpg;0;autor:Mateusz Lemberg 
26;Huczmiranki. Rumianek i mięta tom 2(Audiobook) ;audiobooki;1;1;80;zł;26,06;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487251488718_82921_32.jpg;0;autor:Agata Mańczyk 
27;Rotmistrz Pilecki Ochotnik do Auschwitz(Audiobook) ;audiobooki;1;1;34;zł;26,06;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487252732093_76933_31.jpg;0;autor:Adam Cyra 
28;Szkoła żon(Audiobook) ;audiobooki;1;1;30;zł;26,01;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487253752437_6617_31.jpg;0;autor:Magdalena Witkiewicz 
29;Sońka ;audiobooki;1;1;75;zł;26,01;1;0;1;http://www.matras.pl/media/catalog/product/e/8/e8ecefb84b56ceaa8060e56f0d83021a_1.jpg;0;autor:Ignacy Karpowicz 
30; Narkotyki, anoreksja i inne sekrety (CD) ;audiobooki;1;1;14;zł;30,36;1;0;1;http://www.matras.pl/media/catalog/product/e/a/ea459ad212d2ad877a7c8bfa83d2525d_2.jpg;0;autor:Beata Pawlikowska 
31;Tomek Sawyer jako detektyw (Audiobook) ;audiobooki;1;1;76;zł;12,17;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487596395484_69718_5.jpeg;0;autor:Mark Twain 
32;Dość kato-lipy !(Audiobook) ;audiobooki;1;1;69;zł;26,99;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487595751046_40729_5.jpg;0;autor:Ks. Jan Kaczkowski 
33;Detektyw Blomkvist (CD) ;audiobooki;1;1;20;zł;28,61;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1474287238866_85212_2.jpg;0;autor:Astrid Lindgren 
34;Pupy, ogonki i kuperki(Audiobook) ;audiobooki;1;1;76;zł;24,45;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487596190375_13407_5.jpg;0;autor:Mikołaj Golachowski 
35;Turniej cieni(Audiobook) ;audiobooki;1;1;18;zł;36,72;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1487596597062_75978_5.jpg;0;autor:Elżbieta Cherezińska 
36;Jolka Jolka pamiętasz (CD) ;audiobooki;1;1;59;zł;30,36;1;0;1;http://www.matras.pl/media/catalog/product/e/4/e405ea511dea10804654b47110b8f61f.jpg;0;autor:Marek Dutkiewicz 
37;Zbrodnia na boku ;audiobooki;1;1;13;zł;21,71;1;0;1;http://www.matras.pl/media/catalog/product/5/2/52fff6c3a5f470d3ae07cb7ca08b92b9_2.jpg;0;autor:Dorota Dziedzic-Chojnacka 
38;Malarka gwiazd ;audiobooki;1;1;89;zł;32,63;1;0;1;http://www.matras.pl/media/catalog/product/e/6/e65a8b7811323658c8e9d9e3297d05a2_1.jpg;0;autor:Amelia Noguera 
