670;Prokurator autor: Hanna Greń;kryminał;1;1;29;zł;29.20;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1498565746591_97423_4.jpg;0;autor:Boris  Akunin 
671;Kluczowy świadek autor: Clive Cussler;kryminał;1;1;43;zł;33.45;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1490185078590_2963_24.jpg;0;autor:David Hewson 
672;Znaleźć. Naprawić. Wykończyć autor: Paulina Świst;kryminał;1;1;51;zł;29.27;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1489412916750_33273_42.jpg;0;autor:Remigiusz Mróz 
673;Chemik autor: Jorn Lier Horst;kryminał;1;1;75;zł;33.38;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1486461688546_19910_40.jpg;0;autor:Jane Harper 
674;13 powodów autor: Cezary Harasimowicz;kryminał;1;1;1;zł;42824;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1491381010827_67187_5.jpg;0;autor:David Baldacci 
675;Ostatnie dziecko autor: Stephenie Meyer;kryminał;1;1;78;zł;33.29;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1491381848687_6198_5.jpg;0;autor:H.P. Lovecraft 
676;Grzechot kości autor: Jay Asher;kryminał;1;1;57;zł;33.29;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1491305510468_44928_4.jpg;0;autor:Sophie Hannah 
677;Willa Misteriów autor: Sebastian Fitzek;kryminał;1;1;54;zł;33.38;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1486642883515_40039_4.jpg;0;autor:Jorn Lier Horst 
678;W kręgach władzy - Wotum nieufności autor: Fiona Cummins;kryminał;1;1;16;zł;33.38;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1479825454469_67093_11.png;0;autor:Remigiusz Mróz 
679;Susza autor: David Hewson;kryminał;1;1;90;zł;29.27;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1479372793519_17244_8.jpg;0;autor:Camilla Läckberg 
680;Ostatnia mila autor: Remigiusz Mróz;kryminał;1;1;73;zł;29.28;1;0;1;http://www.matras.pl/media/catalog/product/e/1/e1ac166a909f324c5966001dda74b703_5.jpg;0;autor:Richard Shirreff 
681; Gdy mrok zapada. Seria o komisarzu Williamie Wistingu. Prequel autor: Jorn Lier Horst;kryminał;1;1;33;zł;26.76;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1483622449156_59505_5.jpg;0;autor:Vincent V Severski 
682;Promień rażenia autor: Sophie Hannah;kryminał;1;1;95;zł;33.38;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1482223252581_27654_5.jpg;0;autor:Marco Malvaldi 
683;W górach szaleństwa i inne opowieści autor: H.P. Lovecraft;kryminał;1;1;64;zł;49.36;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1482225044384_84078_5.jpg;0;autor:J.D Robb 
684;Behawiorysta autor: Remigiusz Mróz;kryminał;1;1;95;zł;30.87;1;0;1;http://www.matras.pl/media/catalog/product/e/a/eafaea76dd5fe14b6c733b49c12fb4b3_18.jpg;0;autor: 
685;Morderstwa i woń migdałów autor: Camilla Läckberg;kryminał;1;1;72;zł;43003;1;0;1;http://www.matras.pl/media/catalog/product/0/d/0d6dd6fd9eca98ab13fd26d6998140d6_5.jpg;0;autor:James Rollins 
686;Niepokorni autor: Vincent V Severski;kryminał;1;1;9;zł;37.64;1;0;1;http://www.matras.pl/media/catalog/product/1/1/11529d381a2875d26afe35f84fc92f44_9.jpg;0;autor:Katarzyna Puzyńska 
687;Wyższa karta autor: Marco Malvaldi;kryminał;1;1;33;zł;24.26;1;0;1;http://www.matras.pl/media/catalog/product/2/b/2bc38d6bc7b22b716d149bf39ba361ef_1.jpg;0;autor:Andrea Camilleri 
688;Pożądanie i śmierć autor: J.D Robb;kryminał;1;1;70;zł;31.79;1;0;1;http://www.matras.pl/media/catalog/product/f/c/fcc3e758bbb91ac067fdefeade2626ed_7.jpg;0;autor:Olga Rudnicka 
689;Mapa trzech mędrców autor: James Rollins;kryminał;1;1;81;zł;34.22;1;0;1;http://www.matras.pl/media/catalog/product/i/m/importexcel_a00e3c9688c1e117d791d2d612ece6e2.jpeg;0;autor:Olga Rudnicka 
690;Dom czwarty autor: Katarzyna Puzyńska;kryminał;1;1;81;zł;31.79;1;0;1;http://www.matras.pl/media/catalog/product/5/e/5efb9bf59a0788b2356059b4a4212aa6_4.jpg;0;autor:Stepehn King 
691;Królowa Pomorza autor: Andrea Camilleri;kryminał;1;1;83;zł;20.92;1;0;1;http://www.matras.pl/media/catalog/product/6/b/6bd2bf950a4a500d9b997d4cdd2d24c4_2.jpg;0;autor:Clive Cussler 
692;Granat poproszę autor: Olga Rudnicka;kryminał;1;1;94;zł;27.61;1;0;1;http://www.matras.pl/media/catalog/product/7/d/7d889d57efea8f75e3e40e936bbc680f_6.jpg;0;autor:Jax Miller 
693;Biały trop autor: Emelie Scheep;kryminał;1;1;18;zł;33.38;1;0;1;http://www.matras.pl/media/catalog/product/f/8/f832e65263be9483c5b50df8845d2486_4.jpg;0;autor:Gregg Olsen 
694;Kokainowa miłość autor: Gong Robert;kryminał;1;1;82;zł;27.61;1;0;1;http://www.matras.pl/media/catalog/product/I/M/IMG1480940446765_93802.jpg;0;autor:Stepehn King 
