*ERROR* 	2017/11/06 - 19:40:31: Link to database cannot be established:SQLSTATE[HY000] [2006] MySQL server has gone away at line 102 in file classes/db/DbPDO.php
*ERROR* 	2017/11/06 - 19:41:33: Link to database cannot be established:SQLSTATE[HY000] [2002] Connection refused at line 102 in file classes/db/DbPDO.php
*ERROR* 	2017/11/06 - 19:44:09: Link to database cannot be established:SQLSTATE[HY000] [2002] Connection refused at line 102 in file classes/db/DbPDO.php
*ERROR* 	2017/11/06 - 22:15:06: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:21:33: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:21:45: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:23:49: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:23:57: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:24:03: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:24:03: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:24:32: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:24:35: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:25:24: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:31:32: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2017/11/06 - 22:34:00: Shop not found at line 404 in file classes/shop/Shop.php
